epoch,timestamp,cpu0_user,cpu0_nice,cpu0_system,cpu0_idle,cpu0_iowait,cpu1_user,cpu1_nice,cpu1_system,cpu1_idle,cpu1_iowait,mem_total_kb,mem_available_kb,mem_free_kb
1774373411,2026-03-24 17:30:11,151874,0,44896,67908005,4929,170521,0,64396,67942586,5524,1027320,961444,433480
1774373412,2026-03-24 17:30:12,151888,0,44900,67908090,4929,170586,0,64419,67942601,5524,1027320,941896,413868
1774373413,2026-03-24 17:30:13,151941,0,44911,67908129,4929,170660,0,64428,67942622,5524,1027320,941772,413524
1774373414,2026-03-24 17:30:14,151971,0,44924,67908190,4929,170760,0,64431,67942622,5524,1027320,941652,413068
1774373415,2026-03-24 17:30:15,152011,0,44932,67908244,4929,170853,0,64438,67942626,5524,1027320,941676,412736
1774373416,2026-03-24 17:30:16,152039,0,44943,67908306,4929,170947,0,64448,67942626,5524,1027320,941640,412416
1774373417,2026-03-24 17:30:17,152071,0,44949,67908370,4929,171045,0,64454,67942626,5524,1027320,941680,412116
1774373418,2026-03-24 17:30:18,152099,0,44960,67908435,4929,171145,0,64458,67942626,5524,1027320,941720,411868
1774373419,2026-03-24 17:30:19,152142,0,44971,67908484,4929,171247,0,64460,67942626,5524,1027320,941596,411424
1774373420,2026-03-24 17:30:20,152183,0,44985,67908534,4929,171349,0,64463,67942626,5524,1027320,941624,411052
1774373421,2026-03-24 17:30:21,152230,0,44994,67908583,4929,171453,0,64464,67942626,5524,1027320,941584,410688
1774373422,2026-03-24 17:30:22,152270,0,45007,67908633,4929,171553,0,64468,67942626,5524,1027320,941756,410504
1774373423,2026-03-24 17:30:23,152313,0,45017,67908682,4929,171653,0,64472,67942626,5524,1027320,941552,409992
1774373424,2026-03-24 17:30:24,152343,0,45028,67908743,4929,171753,0,64477,67942626,5524,1027320,941684,409728
1774373425,2026-03-24 17:30:25,152373,0,45039,67908806,4929,171852,0,64482,67942626,5524,1027320,941600,409348
1774373426,2026-03-24 17:30:26,152409,0,45050,67908863,4929,171952,0,64486,67942626,5524,1027320,941748,409068
1774373427,2026-03-24 17:30:27,152444,0,45060,67908922,4929,172053,0,64489,67942626,5524,1027320,941752,408768
1774373428,2026-03-24 17:30:28,152478,0,45074,67908977,4929,172156,0,64491,67942626,5524,1027320,941652,408356
1774373430,2026-03-24 17:30:30,152515,0,45083,67909035,4929,172257,0,64494,67942626,5524,1027320,941736,408076
1774373431,2026-03-24 17:30:31,152550,0,45096,67909091,4929,172358,0,64497,67942626,5524,1027320,941740,407760
1774373432,2026-03-24 17:30:32,152583,0,45109,67909150,4929,172461,0,64498,67942626,5524,1027320,941760,407412
1774373433,2026-03-24 17:30:33,152615,0,45123,67909206,4929,172566,0,64498,67942626,5524,1027320,941708,407000
1774373434,2026-03-24 17:30:34,152650,0,45135,67909263,4929,172666,0,64502,67942626,5524,1027320,941848,406784
1774373435,2026-03-24 17:30:35,152689,0,45145,67909318,4929,172768,0,64505,67942626,5524,1027320,941752,406396
1774373436,2026-03-24 17:30:36,152725,0,45161,67909369,4929,172868,0,64508,67942626,5524,1027320,941668,405936
1774373437,2026-03-24 17:30:37,152761,0,45170,67909428,4929,172970,0,64511,67942626,5524,1027320,941832,405800
1774373438,2026-03-24 17:30:38,152795,0,45182,67909486,4929,173071,0,64514,67942626,5524,1027320,941816,405404
1774373439,2026-03-24 17:30:39,152834,0,45191,67909541,4929,173174,0,64515,67942626,5524,1027320,941880,405172
1774373440,2026-03-24 17:30:40,152870,0,45203,67909597,4929,173277,0,64516,67942626,5524,1027320,941852,404760
1774373441,2026-03-24 17:30:41,152908,0,45213,67909652,4929,173377,0,64520,67942626,5524,1027320,941876,404448
1774373442,2026-03-24 17:30:42,152941,0,45225,67909712,4929,173478,0,64524,67942626,5524,1027320,941888,404180
1774373443,2026-03-24 17:30:43,152968,0,45239,67909773,4929,173579,0,64526,67942626,5524,1027320,941828,403784
1774373444,2026-03-24 17:30:44,152996,0,45250,67909836,4929,173680,0,64530,67942626,5524,1027320,941748,403444
1774373445,2026-03-24 17:30:45,153026,0,45258,67909900,4929,173778,0,64535,67942626,5524,1027320,941888,403188
1774373446,2026-03-24 17:30:46,153073,0,45266,67909948,4929,173879,0,64538,67942626,5524,1027320,941852,402816
1774373447,2026-03-24 17:30:47,153110,0,45275,67910004,4929,173982,0,64539,67942626,5524,1027320,941764,402404
1774373448,2026-03-24 17:30:48,153138,0,45287,67910066,4929,174082,0,64543,67942626,5524,1027320,941788,402056
1774373449,2026-03-24 17:30:49,153172,0,45296,67910126,4929,174182,0,64547,67942626,5524,1027320,941636,401660
1774373450,2026-03-24 17:30:50,153213,0,45309,67910176,4929,174279,0,64554,67942626,5524,1027320,941656,401328
1774373451,2026-03-24 17:30:51,153253,0,45325,67910224,4929,174380,0,64558,67942626,5524,1027320,941704,401008
1774373452,2026-03-24 17:30:52,153302,0,45339,67910264,4929,174484,0,64559,67942626,5524,1027320,941748,400700
1774373454,2026-03-24 17:30:54,153350,0,45350,67910311,4929,174588,0,64561,67942626,5524,1027320,941752,400304
1774373455,2026-03-24 17:30:55,153391,0,45366,67910359,4929,174692,0,64562,67942626,5524,1027320,941692,399932
1774373456,2026-03-24 17:30:56,153442,0,45375,67910403,4929,174790,0,64570,67942626,5524,1027320,941852,399724
1774373457,2026-03-24 17:30:57,153481,0,45393,67910448,4929,174896,0,64570,67942626,5524,1027320,941792,399336
1774373458,2026-03-24 17:30:58,153536,0,45410,67910482,4929,174989,0,64583,67942626,5524,1027320,941804,398964
1774373459,2026-03-24 17:30:59,153590,0,45418,67910524,4929,175093,0,64584,67942626,5524,1027320,941764,398568
1774373460,2026-03-24 17:31:00,153629,0,45434,67910572,4929,175192,0,64591,67942626,5524,1027320,941740,398204
1774373461,2026-03-24 17:31:01,153676,0,45448,67910616,4929,175296,0,64593,67942626,5524,1027320,941780,397884
1774373462,2026-03-24 17:31:02,153726,0,45459,67910659,4929,175401,0,64594,67942626,5524,1027320,941856,397592
1774373463,2026-03-24 17:31:03,153765,0,45477,67910706,4930,175491,0,64595,67942640,5524,1027320,942184,397624
1774373464,2026-03-24 17:31:04,153798,0,45495,67910758,4930,175491,0,64595,67942742,5524,1027320,942612,397072
1774373465,2026-03-24 17:31:05,153799,0,45496,67910858,4930,175491,0,64595,67942844,5524,1027320,942524,396984
1774373466,2026-03-24 17:31:06,153800,0,45500,67910955,4930,175492,0,64595,67942946,5524,1027320,942488,396948
