epoch,timestamp,cpu0_user,cpu0_nice,cpu0_system,cpu0_idle,cpu0_iowait,cpu1_user,cpu1_nice,cpu1_system,cpu1_idle,cpu1_iowait,mem_total_kb,mem_available_kb,mem_free_kb
1775154989,2026-04-02 18:36:29,916,0,4492,11856099,175,1535,0,4508,11872768,49,1027320,991420,914652
1775154991,2026-04-02 18:36:31,999,0,4511,11856100,175,1535,0,4512,11872867,49,1027320,971544,894636
1775154992,2026-04-02 18:36:32,1101,0,4512,11856100,175,1536,0,4513,11872967,49,1027320,969780,892816
1775154993,2026-04-02 18:36:33,1204,0,4512,11856100,175,1537,0,4515,11873066,49,1027320,970848,893884
1775154994,2026-04-02 18:36:34,1305,0,4513,11856100,175,1539,0,4516,11873166,49,1027320,969748,892784
1775154995,2026-04-02 18:36:35,1391,0,4516,11856114,175,1540,0,4524,11873259,49,1027320,971540,894568
1775154996,2026-04-02 18:36:36,1391,0,4528,11856204,175,1542,0,4537,11873347,49,1027320,971516,894544
1775154997,2026-04-02 18:36:37,1404,0,4544,11856280,177,1564,0,4545,11873425,49,1027320,967916,890188
1775154998,2026-04-02 18:36:38,1445,0,4569,11856297,201,1629,0,4567,11873439,56,1027320,912624,809024
1775154999,2026-04-02 18:36:39,1530,0,4585,11856305,201,1724,0,4581,11873439,56,1027320,898604,794128
1775155000,2026-04-02 18:36:40,1628,0,4594,11856310,201,1828,0,4588,11873439,56,1027320,897772,792412
1775155001,2026-04-02 18:36:41,1719,0,4607,11856313,201,1932,0,4589,11873442,56,1027320,898232,791956
1775155002,2026-04-02 18:36:42,1819,0,4614,11856316,201,2029,0,4596,11873447,56,1027320,898576,791388
1775155003,2026-04-02 18:36:43,1918,0,4626,11856317,201,2126,0,4611,11873448,56,1027320,898308,790252
1775155004,2026-04-02 18:36:44,2021,0,4633,11856318,201,2232,0,4613,11873452,56,1027320,898436,789436
1775155005,2026-04-02 18:36:45,2116,0,4638,11856328,201,2333,0,4619,11873454,56,1027320,898568,788636
1775155007,2026-04-02 18:36:47,2205,0,4653,11856332,201,2433,0,4627,11873455,56,1027320,897288,786520
1775155008,2026-04-02 18:36:48,2309,0,4662,11856332,201,2545,0,4629,11873455,56,1027320,897360,785688
1775155009,2026-04-02 18:36:49,2410,0,4673,11856332,201,2626,0,4656,11873458,56,1027320,837996,725316
1775155010,2026-04-02 18:36:50,2509,0,4680,11856334,201,2711,0,4665,11873471,56,1027320,831128,717532
1775155011,2026-04-02 18:36:51,2612,0,4684,11856334,201,2808,0,4673,11873475,56,1027320,830660,716176
1775155012,2026-04-02 18:36:52,2713,0,4690,11856336,201,2907,0,4682,11873478,56,1027320,831484,716156
1775155013,2026-04-02 18:36:53,2818,0,4697,11856337,201,3004,0,4694,11873481,56,1027320,831520,715212
1775155014,2026-04-02 18:36:54,2911,0,4708,11856341,201,3094,0,4701,11873490,56,1027320,831200,714048
1775155015,2026-04-02 18:36:55,3002,0,4718,11856346,201,3188,0,4711,11873494,56,1027320,831612,713512
1775155016,2026-04-02 18:36:56,3098,0,4727,11856347,201,3289,0,4715,11873498,56,1027320,831564,712596
1775155018,2026-04-02 18:36:58,3210,0,4727,11856347,201,3339,0,4719,11873554,57,1027320,829860,710576
1775155019,2026-04-02 18:36:59,3320,0,4729,11856347,201,3424,0,4742,11873554,60,1027320,815600,694364
1775155020,2026-04-02 18:37:00,3408,0,4745,11856347,206,3530,0,4747,11873554,60,1027320,908076,783500
1775155021,2026-04-02 18:37:01,3506,0,4756,11856349,206,3638,0,4750,11873554,60,1027320,907192,781032
1775155022,2026-04-02 18:37:02,3604,0,4769,11856349,206,3740,0,4760,11873554,60,1027320,892248,765148
1775155023,2026-04-02 18:37:03,3712,0,4775,11856349,206,3841,0,4774,11873554,60,1027320,896420,768388
1775155024,2026-04-02 18:37:04,3814,0,4783,11856349,206,3940,0,4784,11873554,60,1027320,878356,749464
1775155025,2026-04-02 18:37:05,3921,0,4787,11856349,206,4044,0,4791,11873554,60,1027320,894292,764548
1775155026,2026-04-02 18:37:06,4026,0,4793,11856349,206,4144,0,4801,11873554,60,1027320,889252,758604
1775155028,2026-04-02 18:37:08,4129,0,4801,11856349,206,4247,0,4808,11873554,60,1027320,877536,745968
1775155029,2026-04-02 18:37:09,4234,0,4807,11856349,206,4350,0,4817,11873554,60,1027320,864368,731884
1775155030,2026-04-02 18:37:10,4337,0,4814,11856349,206,4452,0,4826,11873554,60,1027320,812572,679244
1775155031,2026-04-02 18:37:11,4445,0,4819,11856349,206,4558,0,4833,11873554,60,1027320,812432,678248
1775155032,2026-04-02 18:37:12,4553,0,4821,11856349,206,4654,0,4846,11873554,60,1027320,865248,730196
1775155033,2026-04-02 18:37:13,4662,0,4823,11856349,206,4757,0,4854,11873554,60,1027320,860708,724800
1775155034,2026-04-02 18:37:14,4770,0,4827,11856349,206,4860,0,4862,11873554,60,1027320,893960,757244
1775155035,2026-04-02 18:37:15,4857,0,4851,11856349,206,4959,0,4874,11873554,60,1027320,883124,745520
1775155036,2026-04-02 18:37:17,4949,0,4871,11856349,206,5062,0,4883,11873554,60,1027320,882928,744500
