epoch,timestamp,cpu0_user,cpu0_nice,cpu0_system,cpu0_idle,cpu0_iowait,cpu1_user,cpu1_nice,cpu1_system,cpu1_idle,cpu1_iowait,mem_total_kb,mem_available_kb,mem_free_kb
1783995787,2026-07-14 02:23:07,224344,0,6851,526796,526,217211,0,7169,534758,675,8113864,7695028,5693632
1783995789,2026-07-14 02:23:09,224409,0,6864,526811,530,217269,0,7181,534792,678,8113864,7575064,5529420
1783995790,2026-07-14 02:23:10,224512,0,6866,526811,530,217310,0,7187,534850,679,8113864,7552512,5504320
1783995791,2026-07-14 02:23:11,224616,0,6868,526811,530,217315,0,7188,534949,679,8113864,7547912,5499720
1783995792,2026-07-14 02:23:12,224722,0,6868,526811,530,217320,0,7189,535049,679,8113864,7543376,5495184
1783995793,2026-07-14 02:23:13,224790,0,6871,526840,532,217353,0,7193,535116,681,8113864,7493056,5444940
1783995794,2026-07-14 02:23:14,224888,0,6872,526847,532,217367,0,7195,535206,681,8113864,7468200,5419992
1783995795,2026-07-14 02:23:15,224994,0,6873,526847,532,217373,0,7196,535306,681,8113864,7468200,5419992
1783995796,2026-07-14 02:23:16,225100,0,6873,526847,532,217378,0,7197,535407,681,8113864,7468200,5419992
1783995797,2026-07-14 02:23:17,225121,0,6875,526929,532,217465,0,7199,535424,681,8113864,7552292,5501744
1783995798,2026-07-14 02:23:18,225131,0,6876,527023,532,217567,0,7199,535427,681,8113864,7559784,5509276
1783995799,2026-07-14 02:23:19,225137,0,6877,527121,532,217670,0,7200,535427,681,8113864,7559844,5509336
1783995800,2026-07-14 02:23:20,225142,0,6878,527220,532,217776,0,7201,535427,681,8113864,7559844,5509336
1783995801,2026-07-14 02:23:21,225226,0,6882,527237,533,217796,0,7203,535509,682,8113864,7555856,5502444
1783995802,2026-07-14 02:23:22,225330,0,6883,527238,533,217803,0,7205,535607,682,8113864,7556276,5502444
1783995803,2026-07-14 02:23:23,225428,0,6885,527243,533,217814,0,7207,535699,682,8113864,7547304,5492964
1783995805,2026-07-14 02:23:25,225529,0,6886,527245,533,217821,0,7210,535796,682,8113864,7547492,5492712
1783995806,2026-07-14 02:23:26,225630,0,6887,527246,533,217827,0,7211,535894,682,8113864,7547460,5492208
1783995807,2026-07-14 02:23:27,225733,0,6889,527247,533,217834,0,7216,535988,682,8113864,7547960,5492208
1783995808,2026-07-14 02:23:28,225784,0,6890,527298,533,217891,0,7219,536033,682,8113864,7499060,5442708
1783995809,2026-07-14 02:23:29,225890,0,6891,527298,533,217896,0,7220,536133,682,8113864,7483384,5427032
1783995810,2026-07-14 02:23:30,225996,0,6891,527298,533,217902,0,7221,536232,682,8113864,7491952,5435572
1783995811,2026-07-14 02:23:31,226102,0,6891,527298,533,217908,0,7224,536330,682,8113864,7481720,5425316
