epoch,timestamp,cpu0_user,cpu0_nice,cpu0_system,cpu0_idle,cpu0_iowait,cpu1_user,cpu1_nice,cpu1_system,cpu1_idle,cpu1_iowait,mem_total_kb,mem_available_kb,mem_free_kb
1774446608,2026-03-25 13:50:08,186592,0,51663,75174020,5576,198335,0,69661,75228843,5885,1027320,961532,223020
1774446609,2026-03-25 13:50:09,186592,0,51672,75174113,5576,198402,0,69675,75228858,5892,1027320,942696,202380
1774446610,2026-03-25 13:50:10,186594,0,51678,75174207,5576,198402,0,69691,75228945,5892,1027320,943468,203152
1774446611,2026-03-25 13:50:11,186620,0,51690,75174272,5576,198469,0,69698,75228975,5892,1027320,942132,202132
1774446612,2026-03-25 13:50:12,186671,0,51702,75174314,5576,198574,0,69699,75228975,5892,1027320,941956,201620
1774446613,2026-03-25 13:50:13,186718,0,51713,75174361,5576,198678,0,69702,75228975,5892,1027320,941908,201256
1774446614,2026-03-25 13:50:14,186765,0,51735,75174398,5576,198781,0,69704,75228975,5892,1027320,941968,200936
1774446615,2026-03-25 13:50:15,186812,0,51747,75174443,5576,198885,0,69706,75228975,5892,1027320,942060,200652
1774446616,2026-03-25 13:50:16,186857,0,51768,75174484,5576,198991,0,69706,75228975,5892,1027320,941920,200192
1774446617,2026-03-25 13:50:17,186902,0,51788,75174524,5576,199095,0,69708,75228975,5892,1027320,941968,199900
1774446618,2026-03-25 13:50:18,186949,0,51799,75174571,5576,199198,0,69710,75228975,5892,1027320,941964,199520
1774446619,2026-03-25 13:50:19,186994,0,51812,75174619,5576,199303,0,69711,75228975,5892,1027320,942072,199304
1774446620,2026-03-25 13:50:20,187041,0,51827,75174662,5576,199405,0,69714,75228975,5892,1027320,942048,198916
1774446622,2026-03-25 13:50:22,187081,0,51843,75174710,5576,199506,0,69718,75228975,5892,1027320,941976,198528
1774446623,2026-03-25 13:50:23,187128,0,51852,75174759,5576,199606,0,69723,75228975,5892,1027320,942128,198428
1774446624,2026-03-25 13:50:24,187169,0,51869,75174806,5576,199709,0,69725,75228975,5892,1027320,942316,198232
1774446625,2026-03-25 13:50:25,187211,0,51885,75174852,5576,199809,0,69730,75228975,5892,1027320,942296,197900
1774446626,2026-03-25 13:50:26,187258,0,51899,75174896,5576,199912,0,69733,75228975,5892,1027320,942484,197676
1774446627,2026-03-25 13:50:27,187309,0,51908,75174941,5576,200015,0,69736,75228975,5892,1027320,942408,197248
1774446628,2026-03-25 13:50:28,187358,0,51918,75174988,5576,200120,0,69737,75228975,5892,1027320,942444,196940
1774446629,2026-03-25 13:50:29,187404,0,51932,75175033,5576,200217,0,69745,75228975,5892,1027320,942396,196544
1774446630,2026-03-25 13:50:30,187451,0,51943,75175081,5576,200314,0,69753,75228975,5892,1027320,942500,196296
1774446631,2026-03-25 13:50:31,187493,0,51967,75175120,5576,200417,0,69756,75228975,5892,1027320,942484,195932
1774446632,2026-03-25 13:50:32,187531,0,51992,75175162,5576,200522,0,69756,75228975,5892,1027320,942488,195584
1774446633,2026-03-25 13:50:33,187575,0,52005,75175209,5576,200622,0,69761,75228975,5892,1027320,942332,195100
1774446634,2026-03-25 13:50:34,187625,0,52014,75175254,5576,200725,0,69763,75228975,5892,1027320,942440,194860
1774446635,2026-03-25 13:50:35,187668,0,52028,75175301,5576,200829,0,69764,75228975,5892,1027320,942500,194584
1774446636,2026-03-25 13:50:36,187713,0,52041,75175346,5576,200927,0,69771,75228975,5892,1027320,942448,194196
1774446637,2026-03-25 13:50:37,187757,0,52055,75175394,5576,201030,0,69773,75228975,5892,1027320,942344,193744
1774446638,2026-03-25 13:50:38,187806,0,52067,75175438,5576,201133,0,69775,75228975,5892,1027320,942348,193436
1774446639,2026-03-25 13:50:39,187847,0,52089,75175476,5576,201236,0,69778,75228975,5892,1027320,942472,193228
1774446640,2026-03-25 13:50:40,187897,0,52108,75175513,5576,201329,0,69791,75228975,5892,1027320,942412,192784
1774446642,2026-03-25 13:50:42,187947,0,52126,75175551,5576,201428,0,69798,75228975,5892,1027320,942412,192468
1774446643,2026-03-25 13:50:43,187993,0,52137,75175597,5576,201530,0,69801,75228975,5892,1027320,942348,192072
1774446644,2026-03-25 13:50:44,188038,0,52150,75175643,5576,201631,0,69805,75228975,5892,1027320,942508,191864
