frequency_hz,power_db_hz
-100000,-151.104
-99804.7,-151.045
-99609.4,-151.027
-99414.1,-150.971
-99218.8,-151.03
-99023.4,-151.078
-98828.1,-151.119
-98632.8,-151.022
-98437.5,-150.968
-98242.2,-151.017
-98046.9,-151.085
-97851.6,-151.036
-97656.2,-150.951
-97460.9,-150.969
-97265.6,-151.019
-97070.3,-151.038
-96875,-151.063
-96679.7,-151.059
-96484.4,-151.031
-96289.1,-151.118
-96093.8,-151.077
-95898.4,-151.161
-95703.1,-151.128
-95507.8,-151.12
-95312.5,-150.987
-95117.2,-150.779
-94921.9,-150.538
-94726.6,-150.321
-94531.2,-150.03
-94335.9,-149.689
-94140.6,-149.221
-93945.3,-148.589
-93750,-147.837
-93554.7,-147.214
-93359.4,-146.475
-93164.1,-145.645
-92968.8,-144.747
-92773.4,-143.962
-92578.1,-143.193
-92382.8,-142.379
-92187.5,-141.504
-91992.2,-140.729
-91796.9,-139.791
-91601.6,-138.953
-91406.2,-138.293
-91210.9,-137.533
-91015.6,-136.797
-90820.3,-136.099
-90625,-135.36
-90429.7,-134.641
-90234.4,-134.059
-90039.1,-133.449
-89843.8,-132.741
-89648.4,-132.082
-89453.1,-131.506
-89257.8,-130.95
-89062.5,-130.419
-88867.2,-129.868
-88671.9,-129.318
-88476.6,-128.799
-88281.2,-128.283
-88085.9,-127.795
-87890.6,-127.379
-87695.3,-126.882
-87500,-126.438
-87304.7,-126.041
-87109.4,-125.699
-86914.1,-125.262
-86718.8,-124.867
-86523.4,-124.425
-86328.1,-123.993
-86132.8,-123.709
-85937.5,-123.371
-85742.2,-123.018
-85546.9,-122.643
-85351.6,-122.322
-85156.2,-122.085
-84960.9,-121.764
-84765.6,-121.545
-84570.3,-121.248
-84375,-120.961
-84179.7,-120.658
-83984.4,-120.435
-83789.1,-120.22
-83593.8,-119.876
-83398.4,-119.683
-83203.1,-119.502
-83007.8,-119.353
-82812.5,-119.124
-82617.2,-118.991
-82421.9,-118.793
-82226.6,-118.601
-82031.2,-118.324
-81835.9,-118.105
-81640.6,-118.069
-81445.3,-117.9
-81250,-117.833
-81054.7,-117.655
-80859.4,-117.493
-80664.1,-117.413
-80468.8,-117.251
-80273.4,-117.06
-80078.1,-116.996
-79882.8,-116.871
-79687.5,-116.811
-79492.2,-116.781
-79296.9,-116.593
-79101.6,-116.461
-78906.2,-116.423
-78710.9,-116.394
-78515.6,-116.312
-78320.3,-116.233
-78125,-116.098
-77929.7,-116.04
-77734.4,-115.986
-77539.1,-115.998
-77343.8,-115.993
-77148.4,-115.788
-76953.1,-115.711
-76757.8,-115.678
-76562.5,-115.722
-76367.2,-115.654
-76171.9,-115.528
-75976.6,-115.589
-75781.2,-115.513
-75585.9,-115.506
-75390.6,-115.53
-75195.3,-115.435
-75000,-115.366
-74804.7,-115.378
-74609.4,-115.374
-74414.1,-115.405
-74218.8,-115.382
-74023.4,-115.281
-73828.1,-115.248
-73632.8,-115.237
-73437.5,-115.285
-73242.2,-115.248
-73046.9,-115.199
-72851.6,-115.151
-72656.2,-115.153
-72460.9,-115.099
-72265.6,-115.158
-72070.3,-115.148
-71875,-115.138
-71679.7,-115.07
-71484.4,-115.074
-71289.1,-115.092
-71093.8,-115.099
-70898.4,-115.123
-70703.1,-115.117
-70507.8,-115.135
-70312.5,-115.039
-70117.2,-115.011
-69921.9,-115.052
-69726.6,-115.125
-69531.2,-115.037
-69335.9,-114.971
-69140.6,-115
-68945.3,-115.031
-68750,-114.989
-68554.7,-115.004
-68359.4,-115.024
-68164.1,-114.93
-67968.8,-114.828
-67773.4,-114.878
-67578.1,-114.89
-67382.8,-114.882
-67187.5,-114.911
-66992.2,-114.944
-66796.9,-114.886
-66601.6,-114.927
-66406.2,-114.932
-66210.9,-114.928
-66015.6,-114.918
-65820.3,-114.963
-65625,-114.95
-65429.7,-114.935
-65234.4,-114.91
-65039.1,-114.895
-64843.8,-114.848
-64648.4,-114.852
-64453.1,-114.802
-64257.8,-114.703
-64062.5,-114.832
-63867.2,-114.9
-63671.9,-114.905
-63476.6,-114.88
-63281.2,-114.867
-63085.9,-114.907
-62890.6,-114.888
-62695.3,-114.838
-62500,-114.881
-62304.7,-114.846
-62109.4,-114.823
-61914.1,-114.803
-61718.8,-114.824
-61523.4,-114.863
-61328.1,-114.911
-61132.8,-114.975
-60937.5,-114.993
-60742.2,-114.897
-60546.9,-114.828
-60351.6,-114.858
-60156.2,-114.82
-59960.9,-114.843
-59765.6,-114.874
-59570.3,-114.943
-59375,-114.977
-59179.7,-115.025
-58984.4,-114.902
-58789.1,-114.951
-58593.8,-114.996
-58398.4,-115.009
-58203.1,-114.999
-58007.8,-115.055
-57812.5,-115.066
-57617.2,-114.972
-57421.9,-114.935
-57226.6,-115.01
-57031.2,-115.086
-56835.9,-115.107
-56640.6,-115.069
-56445.3,-115.048
-56250,-115.024
-56054.7,-115.172
-55859.4,-115.142
-55664.1,-115.066
-55468.8,-115.074
-55273.4,-115.1
-55078.1,-115.054
-54882.8,-115.07
-54687.5,-115.145
-54492.2,-115.093
-54296.9,-115.186
-54101.6,-115.165
-53906.2,-115.151
-53710.9,-115.116
-53515.6,-115.188
-53320.3,-115.157
-53125,-115.155
-52929.7,-115.169
-52734.4,-115.234
-52539.1,-115.306
-52343.8,-115.388
-52148.4,-115.336
-51953.1,-115.268
-51757.8,-115.273
-51562.5,-115.336
-51367.2,-115.375
-51171.9,-115.295
-50976.6,-115.271
-50781.2,-115.269
-50585.9,-115.383
-50390.6,-115.469
-50195.3,-115.492
-50000,-115.51
-49804.7,-115.487
-49609.4,-115.532
-49414.1,-115.495
-49218.8,-115.446
