epoch,timestamp,cpu0_user,cpu0_nice,cpu0_system,cpu0_idle,cpu0_iowait,cpu1_user,cpu1_nice,cpu1_system,cpu1_idle,cpu1_iowait,mem_total_kb,mem_available_kb,mem_free_kb
1785149455,2026-07-27 10:50:55,120,0,217,22233,52,140,0,334,22177,35,1027320,991052,979004
1785149456,2026-07-27 10:50:56,173,0,245,22233,72,141,0,336,22277,35,1027320,972636,947052
1785149457,2026-07-27 10:50:57,244,0,251,22235,84,143,0,338,22376,35,1027320,969060,937296
1785149458,2026-07-27 10:50:58,332,0,251,22235,84,147,0,346,22467,35,1027320,968692,936928
1785149459,2026-07-27 10:50:59,433,0,253,22235,84,149,0,347,22566,35,1027320,969084,937320
1785149460,2026-07-27 10:51:00,535,0,253,22235,84,149,0,351,22665,35,1027320,968720,936956
1785149461,2026-07-27 10:51:01,584,0,255,22287,84,151,0,365,22751,35,1027320,970452,938680
1785149462,2026-07-27 10:51:02,587,0,259,22381,87,161,0,374,22836,36,1027320,969076,936352
1785149463,2026-07-27 10:51:03,639,0,289,22392,99,228,0,399,22846,43,1027320,930840,871872
1785149464,2026-07-27 10:51:04,733,0,305,22395,99,329,0,408,22850,43,1027320,897744,837864
1785149465,2026-07-27 10:51:05,829,0,315,22396,99,427,0,418,22851,43,1027320,896696,835932
1785149466,2026-07-27 10:51:06,883,0,325,22405,99,529,0,422,22853,43,1027320,897884,836120
1785149467,2026-07-27 10:51:07,966,0,351,22407,99,618,0,436,22859,43,1027320,897496,834820
1785149469,2026-07-27 10:51:09,1067,0,359,22411,99,722,0,441,22863,43,1027320,897276,833728
1785149470,2026-07-27 10:51:10,1153,0,376,22418,99,820,0,449,22867,43,1027320,897076,832640
1785149471,2026-07-27 10:51:11,1239,0,395,22423,99,922,0,457,22867,43,1027320,897372,831984
1785149472,2026-07-27 10:51:12,1328,0,407,22432,99,1020,0,465,22870,43,1027320,897332,831056
1785149473,2026-07-27 10:51:13,1419,0,419,22436,99,1123,0,469,22872,43,1027320,896132,829036
1785149474,2026-07-27 10:51:14,1498,0,429,22436,99,1228,0,477,22872,43,1027320,896208,828140
1785149475,2026-07-27 10:51:15,1592,0,438,22436,99,1325,0,490,22872,43,1027320,870432,801440
1785149476,2026-07-27 10:51:16,1670,0,470,22438,99,1426,0,499,22873,43,1027320,829968,760048
1785149477,2026-07-27 10:51:17,1762,0,483,22443,99,1526,0,503,22877,43,1027320,829668,758920
1785149478,2026-07-27 10:51:18,1864,0,489,22443,99,1626,0,513,22877,43,1027320,830764,759068
1785149480,2026-07-27 10:51:20,1970,0,496,22443,99,1725,0,527,22877,43,1027320,830368,757900
1785149481,2026-07-27 10:51:21,2072,0,506,22443,99,1827,0,536,22877,43,1027320,830096,756692
1785149482,2026-07-27 10:51:22,2179,0,512,22443,99,1926,0,549,22877,43,1027320,830232,755948
1785149483,2026-07-27 10:51:23,2245,0,518,22443,99,1976,0,556,22926,43,1027320,831184,756496
1785149484,2026-07-27 10:51:24,2351,0,519,22443,99,2068,0,562,22934,47,1027320,829824,754176
1785149485,2026-07-27 10:51:25,2461,0,520,22443,99,2170,0,570,22934,48,1027320,829168,754016
1785149486,2026-07-27 10:51:26,2558,0,533,22443,101,2260,0,589,22937,48,1027320,858052,780448
1785149487,2026-07-27 10:51:27,2650,0,551,22446,101,2337,0,597,22965,50,1027320,892152,814612
1785149488,2026-07-27 10:51:29,2754,0,558,22446,101,2417,0,625,22965,50,1027320,885964,806612
1785149490,2026-07-27 10:51:30,2852,0,569,22446,101,2516,0,636,22965,50,1027320,876964,796716
1785149491,2026-07-27 10:51:31,2957,0,574,22446,101,2625,0,636,22965,50,1027320,882576,801604
1785149492,2026-07-27 10:51:32,3029,0,581,22446,101,2730,0,641,22966,50,1027320,894372,811968
1785149493,2026-07-27 10:51:33,3130,0,592,22446,101,2829,0,653,22967,50,1027320,878752,795304
1785149494,2026-07-27 10:51:34,3233,0,599,22446,101,2928,0,664,22967,50,1027320,894372,810000
1785149495,2026-07-27 10:51:35,3335,0,610,22446,101,3031,0,671,22967,50,1027320,889732,804512
1785149496,2026-07-27 10:51:36,3435,0,620,22446,101,3135,0,677,22967,50,1027320,879428,793332
1785149497,2026-07-27 10:51:37,3533,0,633,22446,101,3241,0,684,22967,50,1027320,867460,780440
1785149498,2026-07-27 10:51:38,3636,0,644,22446,101,3348,0,689,22967,50,1027320,853532,765588
1785149500,2026-07-27 10:51:40,3736,0,651,22446,101,3454,0,693,22967,50,1027320,812364,723548
1785149501,2026-07-27 10:51:41,3820,0,656,22446,101,3557,0,699,22967,50,1027320,867860,778148
1785149502,2026-07-27 10:51:42,3913,0,673,22446,101,3657,0,710,22967,50,1027320,864668,774028
1785149503,2026-07-27 10:51:43,4017,0,681,22447,101,3767,0,713,22967,50,1027320,860848,769168
